trade_date,trade_id,entry_time,exit_time,spot_entry,strike,ce_symbol,pe_symbol,ce_entry,pe_entry,ce_exit,pe_exit,ce_pnl,pe_pnl,gross_pnl,charges,total_pnl,capital,roi,exit_on,cum_pnl
2021-01-01,2021-01-01_14000,2021-01-01 09:20:00,2021-01-01 15:15:00,14020.7,14000,NIFTY07JAN2114000CE,NIFTY07JAN2114000PE,131.15,117.15,120.95,94.35,765.0000000000002,1710.000000000001,2475.000000000001,59.081875000000004,2415.918125000001,18622.5,12.973113840784004,time_exit,2415.918125000001
2021-01-04,2021-01-04_14100,2021-01-04 09:20:00,2021-01-04 15:15:00,14095.8,14100,NIFTY07JAN2114100CE,NIFTY07JAN2114100PE,93.15,86.3,98.1,71.5,-371.24999999999915,1109.9999999999998,738.7500000000007,55.881699999999995,682.8683000000007,13458.75,5.073786941580761,time_exit,3098.7864250000016
2021-01-05,2021-01-05_14100,2021-01-05 09:20:00,2021-01-05 15:15:00,14101.75,14100,NIFTY07JAN2114100CE,NIFTY07JAN2114100PE,81.9,89.55,140.2,46.45,-4372.499999999999,3232.4999999999995,-1139.9999999999995,55.66078749999999,-1195.6607874999995,12858.75,-9.298421600077763,time_exit,1903.125637500002
2021-01-06,2021-01-06_14250,2021-01-06 09:20:00,2021-01-06 15:15:00,14238.65,14250,NIFTY07JAN2114250CE,NIFTY07JAN2114250PE,52.8,81.95,19.7,106.0,2482.4999999999995,-1803.7499999999998,678.7499999999998,53.707975,625.0420249999997,10106.25,6.18470773036487,time_exit,2528.167662500002
2021-01-07,2021-01-07_14250,2021-01-07 09:20:00,2021-01-07 15:15:00,14227.8,14250,NIFTY07JAN2114250CE,NIFTY07JAN2114250PE,27.5,49.6,0.05,109.4,2058.75,-4485.0,-2426.25,51.176987499999996,-2477.4269875,5782.5,-42.84352766969304,time_exit,50.74067500000183
2021-01-08,2021-01-08_14250,2021-01-08 09:20:00,2021-01-08 15:15:00,14235.9,14250,NIFTY14JAN2114250CE,NIFTY14JAN2114250PE,101.7,120.25,169.0,77.6,-5047.5,3198.7500000000005,-1848.7499999999995,58.18645000000001,-1906.9364499999995,16646.25,-11.455651873545088,time_exit,-1856.1957749999976
2021-01-11,2021-01-11_14450,2021-01-11 09:20:00,2021-01-11 15:15:00,14430.25,14450,NIFTY14JAN2114450CE,NIFTY14JAN2114450PE,80.1,126.5,102.05,94.35,-1646.2500000000002,2411.2500000000005,765.0000000000002,57.2029,707.7971000000002,15495.0,4.567906421426268,time_exit,-1148.3986749999974
2021-01-12,2021-01-12_14450,2021-01-12 09:20:00,2021-01-12 15:15:00,14467.3,14450,NIFTY14JAN2114450CE,NIFTY14JAN2114450PE,92.5,95.9,159.25,40.0,-5006.25,4192.5,-813.75,56.4577375,-870.2077375,14130.0,-6.1585827140835105,time_exit,-2018.6064124999975
2021-01-13,2021-01-13_14650,2021-01-13 09:20:00,2021-01-13 15:15:00,14634.8,14650,NIFTY14JAN2114650CE,NIFTY14JAN2114650PE,45.6,90.35,20.75,85.9,1863.75,333.74999999999915,2197.499999999999,53.62978749999999,2143.870212499999,10196.25,21.02606558783866,time_exit,125.26380000000154
2021-01-14,2021-01-14_14550,2021-01-14 09:20:00,2021-01-14 15:15:00,14551.1,14550,NIFTY14JAN2114550CE,NIFTY14JAN2114550PE,41.75,40.3,38.4,0.25,251.2500000000001,3003.75,3255.0,50.9069875,3204.0930125,6153.75,52.0673250050782,time_exit,3329.3568125000015
2021-01-15,2021-01-15_14600,2021-01-15 09:20:00,2021-01-15 15:15:00,14597.55,14600,NIFTY21JAN2114600CE,NIFTY21JAN2114600PE,130.6,135.05,74.95,219.05,4173.749999999999,-6300.0,-2126.250000000001,60.34179999999999,-2186.591800000001,19923.75,-10.97480042662652,time_exit,1142.7650125000005
2021-01-18,2021-01-18_14400,2021-01-18 09:20:00,2021-01-18 15:15:00,14418.85,14400,NIFTY21JAN2114400CE,NIFTY21JAN2114400PE,145.15,132.75,74.3,172.9,5313.750000000001,-3011.2500000000005,2302.5000000000005,60.5404,2241.9596000000006,20842.5,10.756673143816723,time_exit,3384.724612500001
2021-01-19,2021-01-19_14400,2021-01-19 09:20:00,2021-01-19 15:15:00,14416.7,14400,NIFTY21JAN2114400CE,NIFTY21JAN2114400PE,110.6,99.75,185.0,27.3,-5580.0,5433.75,-146.25,57.467725,-203.717725,15776.25,-1.2912937168211711,time_exit,3181.006887500001
2021-01-20,2021-01-20_14550,2021-01-20 09:20:00,2021-01-20 15:15:00,14569.65,14550,NIFTY21JAN2114550CE,NIFTY21JAN2114550PE,76.9,68.1,113.25,17.05,-2726.2499999999995,3828.75,1102.5000000000005,54.169525,1048.3304750000004,10875.0,9.63982045977012,time_exit,4229.337362500001
2021-01-21,2021-01-21_14750,2021-01-21 09:20:00,2021-01-21 15:04:00,14727.9,14750,NIFTY21JAN2114750CE,NIFTY21JAN2114750PE,16.65,53.0,0.15,145.45,1237.5,-6933.749999999999,-5696.249999999999,51.10809999999999,-5747.3580999999995,5223.75,-110.02360564728404,stoploss_hit,-1518.0207374999982
2021-01-22,2021-01-22_14600,2021-01-22 09:20:00,2021-01-22 15:15:00,14587.7,14600,NIFTY28JAN2114600CE,NIFTY28JAN2114600PE,128.55,147.05,51.95,274.05,5745.000000000001,-9525.0,-3779.999999999999,60.975699999999996,-3840.975699999999,20670.0,-18.58236913401064,time_exit,-5358.996437499997
2021-01-25,2021-01-25_14450,2021-01-25 09:20:00,2021-01-25 15:15:00,14456.7,14450,NIFTY28JAN2114450CE,NIFTY28JAN2114450PE,128.0,115.0,27.35,222.05,7548.75,-8028.750000000001,-480.0000000000009,59.08944999999999,-539.0894500000009,18225.0,-2.9579668038408826,time_exit,-5898.085887499998
2021-01-27,2021-01-27_14150,2021-01-27 09:20:00,2021-01-27 15:15:00,14167.05,14150,NIFTY28JAN2114150CE,NIFTY28JAN2114150PE,105.7,87.3,13.85,171.55,6888.750000000001,-6318.750000000001,570.0,56.55744999999999,513.44255,14475.0,3.547098791018998,time_exit,-5384.643337499998
2021-01-28,2021-01-28_13800,2021-01-28 09:20:00,2021-01-28 15:15:00,13812.55,13800,NIFTY28JAN2113800CE,NIFTY28JAN2113800PE,71.35,51.75,23.75,0.8,3569.9999999999995,3821.25,7391.25,52.5359125,7338.7140875,9232.5,79.48783197942052,time_exit,1954.0707500000017
